Total Chapter Number,Book Number,Chapter Number,Chapter Title
1,1,1,The Boy Who Lived
2,1,2,The Vanishing Glass
3,1,3,The Letters from No One
4,1,4,The Keeper of Keys
5,1,5,Diagon Alley
6,1,6,The Journey from Platform Nine and Three-Quarters
7,1,7,The Sorting Hat
8,1,8,The Potions Master
9,1,9,The Midnight Duel
10,1,10,Hallowe'en
11,1,11,Quidditch
12,1,12,The Mirror of Erised
13,1,13,Nicholas Flamel
14,1,14,Norbert the Norwegian Ridgeback
15,1,15,The Forbidden Forest
16,1,16,Through the Trapdoor
17,1,17,The Man with Two Faces
18,2,1,The Worst Birthday
19,2,2,Dobby's Warning
20,2,3,The Burrow
21,2,4,At Flourish and Blotts
22,2,5,The Whomping Willow
23,2,6,Gilderoy Lockhart
24,2,7,Mudbloods and Murmurs
25,2,8,The Deathday Party
26,2,9,The Writing on the Wall
27,2,10,The Rogue Bludger
28,2,11,The Duelling Club
29,2,12,The Polyjuice Potion
30,2,13,The Very Secret Diary
31,2,14,Cornelius Fudge
32,2,15,Aragog
33,2,16,The Chamber of Secrets
34,2,17,The Heir of Slytherin
35,2,18,Dobby's Reward
36,3,1,Owl Post
37,3,2,Aunt Marge's Big Mistake
38,3,3,The Knight Bus
39,3,4,The Leaky Cauldron
40,3,5,The Dementor
41,3,6,Talons and Tea Leaves
42,3,7,The Boggart in the Wardrobe
43,3,8,Flight of the Fat Lady
44,3,9,Grim Defeat
45,3,10,The Marauder's Map
46,3,11,The Firebolt
47,3,12,The Patronus
48,3,13,Gryffindor versus Ravenclaw
49,3,14,Snape's Grudge
50,3,15,The Quidditch Final
51,3,16,Professor Trelawney's Prediction
52,3,17,Cat
53,3,18,Moony
54,3,19,The Servant of Lord Voldemort
55,3,20,The Dementor's Kiss
56,3,21,Hermione's Secret
57,3,22,Owl Post Again
58,4,1,The Riddle House
59,4,2,The Scar
60,4,3,The Invitation
61,4,4,Back to the Burrow
62,4,5,Weasley's Wizard Wheezes
63,4,6,The Portkey
64,4,7,Bagman and Crouch
65,4,8,The Quidditch World Cup
66,4,9,The Dark Mark
67,4,10,Mayhem at the Ministry
68,4,11,Aboard the Hogwarts Express
69,4,12,The Triwizard Tournament
70,4,13,Mad-Eye Moody
71,4,14,The Unforgivable Curses
72,4,15,Beauxbatons and Durmstrang
73,4,16,The Goblet of Fire
74,4,17,The Four Champions
75,4,18,The Weighing of the Wands
76,4,19,The Hungarian Horntail
77,4,20,The First Task
78,4,21,The House-Elf Liberation Front
79,4,22,The Unexpected Task
80,4,23,The Yule Ball
81,4,24,Rita Skeeter's Scoop
82,4,25,The Egg and the Eye
83,4,26,The Second Task
84,4,27,Padfoot Returns
85,4,28,The Madness of Mr Crouch
86,4,29,The Dream
87,4,30,The Pensieve
88,4,31,The Third Task
89,4,32,Flesh
90,4,33,The Death Eaters
91,4,34,Priori Incantatem
92,4,35,Veritaserum
93,4,36,The Parting of the Ways
94,4,37,The Beginning
95,5,1,Dudley Demented
96,5,2,A Peck of Owls
97,5,3,The Advance Guard
98,5,4,Number Twelve
99,5,5,The Order of the Phoenix
100,5,6,The Noble and Most Ancient House of Black
101,5,7,The Ministry of Magic
102,5,8,The Hearing
103,5,9,The Woes of Mrs Weasley
104,5,10,Luna Lovegood
105,5,11,The Sorting Hat's New Song
106,5,12,Professor Umbridge
107,5,13,Detention with Dolores
108,5,14,Percy and Padfoot
109,5,15,The Hogwarts High Inquisitor
110,5,16,In the Hog's Head
111,5,17,Educational Decree Number Twenty-four
112,5,18,Dumbledore's Army
113,5,19,The Lion and the Serpent
114,5,20,Hagrid's Tale
115,5,21,The Eye of the Snake
116,5,22,St Mungo's Hospital for Magical Maladies and Injuries
117,5,23,Christmas on the Closed Ward
118,5,24,Occlumency
